--Full covariance matrices--
Components(False)  Components(True)   Minimum DCF  Actual DCF 
        1                  1             0.263       0.305    
        1                  2             0.265       0.305    
        1                  4             0.214       0.237    
        1                  8             0.185       0.196    
        1                 16             0.150       0.206    
        1                 32             0.185       0.227    
        2                  1             0.218       0.232    
        2                  2             0.216       0.234    
        2                  4             0.223       0.226    
        2                  8             0.186       0.213    
        2                 16             0.170       0.198    
        2                 32             0.186       0.227    
        4                  1             0.233       0.246    
        4                  2             0.232       0.236    
        4                  4             0.216       0.240    
        4                  8             0.189       0.206    
        4                 16             0.174       0.187    
        4                 32             0.187       0.238    
        8                  1             0.176       0.200    
        8                  2             0.181       0.191    
        8                  4             0.196       0.199    
        8                  8             0.179       0.193    
        8                 16             0.153       0.172    
        8                 32             0.175       0.190    
        16                 1             0.167       0.178    
        16                 2             0.166       0.175    
        16                 4             0.192       0.192    
        16                 8             0.175       0.205    
        16                16             0.163       0.177    
        16                32             0.175       0.195    
        32                 1             0.257       0.258    
        32                 2             0.256       0.260    
        32                 4             0.246       0.282    
        32                 8             0.219       0.225    
        32                16             0.194       0.218    
        32                32             0.234       0.250    

--Diagonal covariance matrices--
Components(False)  Components(True)   Minimum DCF  Actual DCF 
        1                  1             0.257       0.302    
        1                  2             0.261       0.305    
        1                  4             0.210       0.226    
        1                  8             0.205       0.221    
        1                 16             0.143       0.181    
        1                 32             0.137       0.197    
        2                  1             0.245       0.272    
        2                  2             0.249       0.267    
        2                  4             0.199       0.210    
        2                  8             0.204       0.209    
        2                 16             0.154       0.173    
        2                 32             0.144       0.181    
        4                  1             0.145       0.150    
        4                  2             0.154       0.161    
        4                  4             0.148       0.169    
        4                  8             0.140       0.152    
        4                 16             0.137       0.169    
        4                 32             0.141       0.168    
        8                  1             0.173       0.176    
        8                  2             0.176       0.187    
        8                  4             0.158       0.184    
        8                  8             0.146       0.181    
        8                 16             0.132       0.149    
        8                 32             0.131       0.152    
        16                 1             0.207       0.222    
        16                 2             0.204       0.222    
        16                 4             0.196       0.205    
        16                 8             0.198       0.214    
        16                16             0.162       0.177    
        16                32             0.164       0.180    
        32                 1             0.175       0.196    
        32                 2             0.175       0.197    
        32                 4             0.193       0.198    
        32                 8             0.193       0.199    
        32                16             0.185       0.207    
        32                32             0.177       0.199    

